Date,Description,In (£),Out (£),Balance (£)
07-Sep-2018,"ATM-NFS/CASH WITHDRAWAL/+GOLD COINA
PLOT NO/825014",0.0,100.0,47.95
12-Sep-2018,"IMPS-BRC/Fund Trf/825519008950/Omar
am Patel/null",1.0,0.0,48.95
12-Sep-2018,"IMPS-BRC/Fund Trf/825519011169/gopa
l gopa/null",1.0,0.0,49.95
12-Sep-2018,"IMPS-BRC/Fund Trf/825519012774/gopa
l gopa/null",200.0,0.0,249.95
12-Sep-2018,"IMPS-BRC/Fund Trf/825519012772/gopa
l gopa/null",5000.0,0.0,5249.95
12-Sep-2018,"POS-VISA/FINNOVATION TECH SOLUTNEW
DELH/8255157419",0.0,5127.89,122.06
13-Sep-2018,"IMPS-MOB/Fund Trf/825611324195/FINN
OVATION DIS/Di",4493.0,0.0,4615.06
13-Sep-2018,"IMPS-RIB/Fund Trf/825612996791/Emer
gency pay",0.0,4500.0,115.06
13-Sep-2018,POS-VISA/MANSI MEDICAL/825610104558,0.0,75.0,40.06
18-Sep-2018,"IMPS-MOB/Fund Trf/826100014272/RID-
24 SP/Parson",9000.0,0.0,9040.06
18-Sep-2018,"BILLPAY/REGBIL/Reliance Ene/1826177
27909/18092018",0.0,8320.0,720.06
18-Sep-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/826113",0.0,500.0,220.06
25-Sep-2018,"ATM-NFS/CASH WITHDRAWAL/+LAMINGTON
ROAD OPERA MUMB",0.0,200.0,20.06
30-Sep-2018,"IMPS-MOB/Fund Trf/827315528457/FINN
OVATION DIS/Di",7198.0,0.0,7218.06
30-Sep-2018,QUATERLY SAVINGS INTEREST CREDIT,5.0,0.0,7223.06
01-Oct-2018,"ATM-NFS/CASH WITHDRAWAL/SHINDE BLDG
BAZAR PETHWATE",0.0,2000.0,5223.06
02-Oct-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/827512",0.0,1000.0,4223.06
02-Oct-2018,"POS-VISA/THE BOMBAY SEEDS SUPPLMUMB
AI/827509018014",0.0,830.0,3393.06
02-Oct-2018,"ATM-NFS/CASH WITHDRAWAL/INDUSIND BA
NK LIMITED MUMB",0.0,500.0,2893.06
03-Oct-2018,NACH/TP ACH Bajaj Finanac/129461980,0.0,1584.0,1309.06
03-Oct-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/827612",0.0,500.0,809.06
03-Oct-2018,"ATM-NFS/CASH WITHDRAWAL/+NR DEONAR
COLONY/82761900",0.0,500.0,309.06
04-Oct-2018,"ATM-NFS/CASH WITHDRAWAL/+LALU BHAI
COMP/8277230315",0.0,200.0,109.06
05-Oct-2018,"ATM-NFS/CASH WITHDRAWAL/+LALU BHAI
COMP/8278150286",0.0,100.0,9.06
10-Oct-2018,APB-INW/HP644950 053723 0610,350.89,0.0,359.95
15-Oct-2018,"IMPS-BRC/Fund Trf/828820034548/gopa
l gopa/null",3000.0,0.0,3359.95
15-Oct-2018,"IMPS-BRC/Fund Trf/828820034546/gopa
l gopa/null",5000.0,0.0,8359.95
15-Oct-2018,"POS-VISA/FINNOVATION TECH SOLUTNEW
DELH/8288155904",0.0,8204.21,155.74
16-Oct-2018,"IMPS-INET/Fund Trf/828912114643/RAT
NAMALA BHON/U",5500.0,0.0,5655.74
17-Oct-2018,"ATM-NFS/CASH WITHDRAWAL/+DOCKYARD M
AZGAON/82901710",0.0,2000.0,3655.74
20-Oct-2018,"Charge:Cash Wdl at other ATM/Inv271
0181905826841/0",0.0,20.0,3635.74
20-Oct-2018,"CGST on Charge:Cash Wdl at other AT
M/Inv2710181905",0.0,1.8,3633.94
20-Oct-2018,"SGST on Charge:Cash Wdl at other AT
M/Inv2710181905",0.0,1.8,3632.14
20-Oct-2018,"POS-VISA/SHREENATHJI CAKE/829307945
045",0.0,750.0,2882.14
20-Oct-2018,"ATM-NFS/CASH WITHDRAWAL/+BSEL TECH
PARKVASHI/82931",0.0,2800.0,82.14
20-Oct-2018,"Charge:Cash Wdl at other ATM/Inv271
0181907118731/0",0.0,20.0,62.14
20-Oct-2018,"CGST on Charge:Cash Wdl at other AT
M/Inv2710181907",0.0,1.8,60.34
20-Oct-2018,"SGST on Charge:Cash Wdl at other AT
M/Inv2710181907",0.0,1.8,58.54
24-Oct-2018,"Charge:Cash Wdl at other ATM/Inv271
0181933121001/1",0.0,20.0,38.54
24-Oct-2018,"CGST on Charge:Cash Wdl at other AT
M/Inv2710181933",0.0,1.8,36.74
24-Oct-2018,"SGST on Charge:Cash Wdl at other AT
M/Inv2710181933",0.0,1.8,34.94
24-Oct-2018,"Charge:Cash Wdl at other ATM/Inv271
0181936795421/2",0.0,20.0,14.94
24-Oct-2018,"CGST on Charge:Cash Wdl at other AT
M/Inv2710181936",0.0,1.8,13.14
24-Oct-2018,"SGST on Charge:Cash Wdl at other AT
M/Inv2710181936",0.0,1.8,11.34
30-Oct-2018,"NEFT/CMS944723497/JANALAKSHMI FINA/
ICIC0000104",47896.0,0.0,47907.34
30-Oct-2018,"IMPS-MOB/Fund Trf/830400310349/FINN
OVATION DIS/Di",7198.0,0.0,55105.34
01-Nov-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/830521",0.0,7000.0,48105.34
01-Nov-2018,"BILLPAY/RECH/IDEA PREPAID/183050619
181/01112018",0.0,179.0,47926.34
02-Nov-2018,"CHQ Paid/000001/NANGARE/KURLA NAGAR
IK SAHAKARI BAN",0.0,47800.0,126.34
04-Nov-2018,"ATM-NFS/CASH WITHDRAWAL/+OPERA HOUS
E/830813253300",0.0,100.0,26.34
07-Nov-2018,APB-INW/HP644950 062482 0511,408.9,0.0,435.24
14-Nov-2018,"ATM-NFS/CASH WITHDRAWAL/+UBI OPERA
HOUSE/831816008",0.0,400.0,35.24
07-Dec-2018,"BILLPAY/RECH/AIRTEL PREPA/183413123
388/07122018",0.0,10.0,25.24
10-Dec-2018,UPI/MOB/834417609963/Pest Control,1000.0,0.0,1025.24
10-Dec-2018,"UPI/MOB/834417611491/Pest Control P
yment",3180.0,0.0,4205.24
11-Dec-2018,"Charge:Annual Debit Card/Inv2711181
990690691/01-NO",0.0,100.0,4105.24
11-Dec-2018,"CGST on Charge:Annual Debit Card/In
v27111819906906",0.0,9.0,4096.24
11-Dec-2018,"SGST on Charge:Annual Debit Card/In
v27111819906906",0.0,9.0,4087.24
11-Dec-2018,"ATM-NFS/CASH WITHDRAWAL/+BOB/834518
004421",0.0,1000.0,3087.24
12-Dec-2018,"IMPS-RIB/Fund Trf/834618717058/Pay
for the urgent",0.0,2000.0,1087.24
15-Dec-2018,APB-INW/HP644950 073902 1212,281.93,0.0,1369.17
15-Dec-2018,"IMPS-RIB/Fund Trf/834922868011/Pay
for urgent",0.0,1000.0,369.17
17-Dec-2018,"ATM-NFS/CASH WITHDRAWAL/+DONGRI OAT
M/835118002573",0.0,200.0,169.17
22-Dec-2018,"IMPS-INET/Fund Trf/835621299970/WHI
ZDMINNOVATIO/192755757354",1.0,0.0,170.17
23-Dec-2018,"IMPS-MOB/Fund Trf/835700023503/RID-
24 SP/Self",250.0,0.0,420.17
23-Dec-2018,"ATM-NFS/CASH WITHDRAWAL/+NR DEONAR
COLONY/83571202",0.0,400.0,20.17
23-Dec-2018,"IMPS-MOB/Fund Trf/835718011933/FINN
OVATION DIS/Disbursal KB181223RDEJE",4493.0,0.0,4513.17
23-Dec-2018,"BILLPAY/RECH/VODAFONE PRE/183574158
770/23122018",0.0,509.0,4004.17
24-Dec-2018,"ATM-NFS/CASH WITHDRAWAL/INDUSIND BA
NK LIMITED MUMB",0.0,3000.0,1004.17
25-Dec-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/835917",0.0,1000.0,4.17
27-Dec-2018,"IMPS-MOB/Fund Trf/836114392688/MERI
TUS MEDIA P/FUND TRANSFER",5150.4,0.0,5154.57
28-Dec-2018,"IMPS-RIB/Fund Trf/836217435262/Pay
for accounts fees",0.0,4000.0,1154.57
29-Dec-2018,"ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN
I AKRUTI/836312",0.0,1000.0,154.57
30-Dec-2018,POS-VISA/MANSI MEDICARE/836413978489,0.0,80.0,74.57
31-Dec-2018,QUATERLY SAVINGS INTEREST CREDIT,24.0,0.0,98.57
01-Jan-2019,"Charge:Cash Wdl at other ATM/Inv271
2181250028541/2",0.0,20.0,78.57
01-Jan-2019,"CGST on Charge:Cash Wdl at other AT
M/Inv2712181250",0.0,1.8,76.77
01-Jan-2019,"SGST on Charge:Cash Wdl at other AT
M/Inv2712181250",0.0,1.8,74.97
10-Jan-2019,"IMPS-BRC/Fund Trf/901020026064/Rahu
l /IMPS Txn",2200.0,0.0,2274.97
11-Jan-2019,"IMPS-RIB/Fund Trf/901115217247/Pay
for finance",0.0,2000.0,274.97
16-Jan-2019,POS-VISA/MANSI MEDICARE/901615494119,0.0,75.0,199.97
19-Jan-2019,POS-VISA/KARUN MEDICAL/901912248047,0.0,80.0,119.97
24-Jan-2019,POS-VISA/MANSI MEDICARE/902417531476,0.0,80.0,39.97
30-Jan-2019,UPI/MOB/903010763900/Salary,3410.0,0.0,3449.97
30-Jan-2019,"POS-VISA/PHONEPE RECHARGE/903008195
064",0.0,349.0,3100.97
01-Feb-2019,APB-INW/HP644950 088903 3001,167.34,0.0,3268.31
01-Feb-2019,"IMPS-RIB/Fund Trf/903302261711/Paym
entforsavings",0.0,500.0,2768.31
02-Feb-2019,"POS-VISA/PRAKASH LUNCH HOME/9033174
51442",0.0,288.0,2480.31
03-Feb-2019,"IMPS-RIB/Fund Trf/903415349596/Paym
entforsalary",0.0,2200.0,280.31
03-Feb-2019,"IMPS-RIB/FT-REV/903415349596/Paymen
tforsalary",2200.0,0.0,2480.31
04-Feb-2019,"IMPS-RIB/Fund Trf/903514406556/Paym
entforsalary",0.0,2200.0,280.31
12-Feb-2019,"IMPS-INET/Fund Trf/904320023197/Ami
tAnilBansode/EKO",2200.0,0.0,2480.31
13-Feb-2019,POS-VISA/MANSI MEDICARE/904417742636,0.0,120.0,2360.31
14-Feb-2019,"ATM-NFS/CASH WITHDRAWAL/HOTEL NEETA
/904501003547",0.0,200.0,2160.31
14-Feb-2019,"ATM-NFS/CASH WITHDRAWAL/HOTEL NEETA
/904502003548",0.0,2000.0,160.31
17-Feb-2019,UPI/MOB/904900396843/Pay for medical,0.0,24.0,136.31
18-Feb-2019,"UPI/MOB/904912046883/Payment for ma
dicin",0.0,80.0,56.31
27-Feb-2019,"IMPS-MOB/Fund Trf/905800031399/RID2
4SP/Payforchandrakant",3000.0,0.0,3056.31
27-Feb-2019,"ATM-NFS/CASH WITHDRAWAL/+HUGHESROAD
/905813031795",0.0,3000.0,56.31
02-Mar-2019,APB-INW/HP644950 098236 2702,138.81,0.0,195.12
03-Mar-2019,"UPI/MOB/906276052721/Payment made t
o Merchant",0.0,80.0,115.12
05-Mar-2019,"UPI/MOB/906457345895/Payment from P
honePe",1800.0,0.0,1915.12
06-Mar-2019,"UPI/MOB/906540003838/Payment for sa
lary",0.0,1000.0,915.12
08-Mar-2019,"UPI/MOB/906764615249/Rajesh basavra
j godal",3900.0,0.0,4815.12
08-Mar-2019,"UPI/MOB/906784098868/Payment made t
o Merchant",0.0,90.0,4725.12
09-Mar-2019,"UPI/MOB/906860406308/Payment from P
honePe",0.0,50.0,4675.12
10-Mar-2019,"UPI/MOB/906945474387/Payment made t
o Merchant",0.0,80.0,4595.12
10-Mar-2019,Payment for material,0.0,600.0,3995.12
11-Mar-2019,"UPI/MOB/907030799340/Payment from P
honePe",0.0,80.0,3915.12
11-Mar-2019,"UPI/MOB/907019957680/Verified Merch
ant",0.0,79.0,3836.12
11-Mar-2019,"ATM-NFS/CASH WITHDRAWAL/+NR DEONAR
COLONY/90701900",0.0,2000.0,1836.12
11-Mar-2019,"POS-VISA/SHRIKANT LINGAM DASPELMUMB
AI/907015440275",0.0,650.0,1186.12
11-Mar-2019,"POS-VISA/Clues Network Private Gurg
aon /9071055942",0.0,450.0,736.12
12-Mar-2019,"NEFT/FINOH19071010428/M/S EKO INDIA
FINANCIAL SERVICES PR/FINO0000001",2000.0,0.0,2736.12
13-Mar-2019,"UPI/MOB/907211920152/Payment made t
o Merchant",0.0,80.0,2656.12
13-Mar-2019,POS-VISA/COST TO COST/907212362533,0.0,460.0,2196.12
13-Mar-2019,"UPI/MOB/907223556339/Verified Merch
ant",0.0,160.0,2036.12
14-Mar-2019,POS-VISA/POORVIKA/907309887397,0.0,1000.0,1036.12
15-Mar-2019,"ATM-NFS/CASH WITHDRAWAL/+OPERA HOUS
E/907414001396",0.0,1000.0,36.12
31-Mar-2019,QUARTERLY SAVINGS INTEREST CREDIT,9.0,0.0,45.12
